Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
1,csharp,1,kinematics_poolq30m,24616,5.00012,1,other,yes,1,4923.08185
2,csharp,1,kinematics_rawd30,21532,5.00007,1,wheel,yes,1,4306.33971
3,csharp,1,kinematics_poolb6,15064,5.00010,1,wheel,yes,1,3012.73975
4,csharp,1,kinematics_rawd6,13426,5.00029,1,wheel,yes,1,2685.04427
5,csharp,1,kinematics_poold6,12881,5.00024,1,wheel,yes,1,2576.07635
6,csharp,1,kinematics_poolq6,10840,5.00007,1,wheel,yes,1,2167.96965
7,csharp,1,kinematics_bool2while,9537,5.00027,1,base,yes,8,1907.29701
8,csharp,1,kinematics_rawd2,5919,5.00046,1,base,yes,1,1183.69110
9,csharp,1,kinematics_poold2,5450,5.00072,1,base,yes,1,1089.84306
10,csharp,1,kinematics_bit2while,3776,5.00138,1,base,yes,1,754.99162
